Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20
,Magdalena,,,39,96,147,216,271,343,416,477,557,649,717,800,911,1008,1072,1157,1241,1338,1423,1532,1612,1707,1776,1868,1923,1981,2047,2128,2176,2243,2334,2395,2476,2544,2623,2691,2755,2829,2893,2952,3002,3051,3104,3208,3279,3323,3378,3464,3537,3595,3677,3777,3849,3933,4014,4086,4158,4222,4329,4389,4474,4568,4665,4742,4784,4856,4918,4994,5063,5116,5197,5257,5307,5378,5449,5522,5596,5671,5746,5823,5901,5980,6060,6140,6222,6306,6390,6475,6562,6649,6738,6828,6919,7012,7105,7200,7296,7394,7492,7592
,Meta,,,30,71,111,174,236,273,328,370,401,445,492,556,626,673,720,803,844,883,969,1033,1109,1174,1268,1329,1461,1506,1540,1670,1709,1826,2013,2059,2103,2266,2382,2442,2484,2514,2541,2589,2624,2652,2681,2707,2762,2814,2880,2925,2994,3074,3122,3181,3217,3258,3307,3370,3528,3621,3680,3773,3834,3924,3994,4026,4092,4162,4268,4316,4401,4444,4522,4571,4613,4682,4751,4821,4893,4966,5039,5114,5190,5267,5345,5424,5505,5586,5669,5753,5838,5925,6013,6102,6193,6284,6378,6472,6568,6666,6765,6865
,Narino,,,95,208,348,545,711,900,1039,1216,1362,1587,1809,1971,2100,2280,2470,2588,2717,2869,2979,3115,3292,3465,3625,3761,3855,3964,4115,4265,4408,4566,4735,4866,4939,5052,5141,5325,5519,5720,5898,6046,6169,6342,6474,6629,6703,6802,6985,7214,7281,7360,7436,7526,7640,7743,7799,7973,8069,8144,8226,8339,8458,8533,8645,8712,8844,8938,9041,9081,9161,9230,9372,9492,9508,9605,9703,9802,9901,10002,10104,10207,10310,10415,10521,10628,10736,10846,10956,11068,11180,11294,11409,11525,11642,11761,11880,12001,12123,12247,12371,12497
,Norte Santander,,,58,118,188,242,296,357,425,481,554,651,747,806,867,923,1009,1058,1111,1162,1200,1252,1322,1372,1413,1445,1489,1533,1567,1617,1663,1698,1763,1803,1871,1932,1982,2053,2091,2158,2211,2264,2316,2376,2427,2536,2607,2658,2764,2862,2985,3059,3132,3246,3359,3456,3568,3666,3764,3847,3926,4094,4175,4321,4403,4488,4636,4811,4972,5090,5220,5313,5434,5536,5608,5738,5871,6007,6146,6289,6435,6584,6737,6893,7053,7216,7384,7555,7730,7909,8093,8281,8473,8669,8870,9076,9286,9502,9722,9948,10178,10414
,Putumayo,,,17,41,58,93,121,147,176,214,293,378,461,511,604,659,731,856,912,966,1044,1106,1170,1248,1284,1366,1422,1516,1581,1621,1749,1888,1969,2039,2093,2156,2207,2319,2378,2431,2489,2592,2642,2680,2764,2868,2894,2957,3002,3047,3102,3127,3229,3262,3337,3383,3434,3478,3523,3565,3590,3607,3659,3709,3727,3778,3795,3837,3856,3879,3904,3921,3953,3968,3978,4002,4027,4051,4076,4101,4126,4151,4176,4201,4227,4253,4279,4305,4331,4357,4384,4410,4437,4464,4491,4519,4546,4574,4602,4630,4658,4686
,Quindio,,,23,60,76,95,109,125,148,164,185,217,235,263,286,315,340,365,389,415,443,464,501,521,543,575,616,644,675,738,761,791,813,902,934,968,1009,1040,1063,1091,1113,1141,1163,1193,1224,1250,1273,1308,1333,1353,1396,1411,1428,1459,1505,1525,1564,1611,1644,1674,1742,1773,1870,1912,1946,1977,2023,2054,2131,2173,2240,2293,2337,2368,2398,2449,2502,2556,2612,2668,2725,2784,2844,2906,2968,3032,3098,3165,3233,3303,3374,3447,3521,3597,3675,3754,3835,3918,4002,4089,4177,4267
,Risaralda,,,16,39,60,77,100,116,137,163,189,212,244,275,307,334,382,414,439,459,492,553,587,628,649,671,693,718,767,789,818,844,863,890,908,936,974,995,1024,1049,1070,1093,1121,1144,1182,1207,1232,1258,1283,1309,1332,1349,1367,1391,1415,1441,1471,1513,1533,1555,1581,1604,1633,1668,1702,1735,1762,1804,1837,1885,1929,1961,2022,2056,2085,2129,2175,2222,2269,2318,2368,2418,2470,2523,2577,2632,2689,2746,2805,2865,2927,2989,3053,3119,3186,3254,3324,3395,3468,3542,3618,3695
,San Andres,,,4,6,9,11,54,63,67,78,90,92,101,106,107,108,109,110,112,113,115,119,121,122,124,125,127,131,135,139,141,148,158,175,176,188,191,193,199,202,247,250,273,294,337,348,350,356,380,446,460,491,504,505,556,660,665,670,742,771,780,915,1012,1054,1088,1129,1153,1191,1200,1210,1407,1495,1549,1568,1547,1616,1687,1762,1839,1921,2005,2094,2186,2283,2384,2489,2599,2714,2834,2959,3089,3226,3368,3517,3672,3834,4004,4180,4365,4558,4759,4969
,Santander,,,104,233,368,478,582,688,791,873,954,1058,1149,1223,1315,1407,1497,1587,1680,1748,1818,1885,1981,2048,2103,2176,2236,2379,2445,2530,2603,2684,2759,2870,2932,3014,3119,3187,3321,3406,3470,3543,3666,3774,3876,3971,4076,4211,4320,4398,4498,4648,4776,4900,5031,5190,5344,5459,5662,5812,6013,6179,6383,6561,6809,7080,7318,7608,7861,8066,8436,8757,9084,9470,9704,10064,10437,10824,11224,11640,12072,12519,12983,13463,13962,14479,15016,15572,16149,16747,17368,18011,18678,19370,20088,20832,21604,22404,23234,24095,24987,25913
,Sucre,,,46,90,140,175,223,259,351,410,478,566,667,742,834,954,1096,1169,1255,1330,1414,1499,1597,1739,1845,1959,2065,2195,2334,2541,2718,2827,2939,3084,3203,3346,3513,3707,3792,3960,4167,4310,4465,4650,4829,4962,5053,5192,5319,5492,5577,5848,6240,6686,6884,7080,7368,7494,7628,7742,7915,8112,8252,8468,8548,8671,8789,8919,9064,9271,9440,9628,9807,9907,10021,10188,10359,10532,10708,10887,11069,11254,11443,11634,11828,12026,12227,12432,12640,12851,13066,13284,13506,13732,13962,14195,14433,14674,14919,15169,15422,15680
,Tolima,,,59,118,223,293,366,433,494,558,623,685,741,791,856,907,987,1049,1119,1265,1319,1393,1510,1607,1687,1773,1896,2046,2099,2197,2252,2321,2394,2486,2666,2717,2833,2902,2983,3056,3113,3207,3247,3326,3456,3594,3639,3704,3770,3830,3886,4008,4094,4178,4227,4287,4381,4447,4523,4582,4657,4738,4842,4909,4960,5028,5085,5174,5224,5270,5327,5380,5438,5504,5540,5601,5662,5724,5787,5850,5914,5979,6044,6111,6178,6245,6314,6383,6453,6523,6595,6667,6740,6814,6889,6964,7040,7118,7196,7274,7354,7435
,Valle,,,65,118,175,238,306,367,425,493,573,627,708,767,836,896,969,1066,1132,1219,1304,1397,1495,1585,1719,1842,1995,2124,2221,2321,2441,2545,2659,2765,2878,2978,3133,3243,3386,3527,3736,3873,4023,4156,4318,4461,4603,4759,5009,5132,5310,5459,5621,5794,6038,6199,6362,6534,6676,6870,7138,7379,7592,7863,8020,8287,8500,8722,9002,9271,9549,9754,10087,10393,10621,10926,11240,11563,11896,12238,12589,12951,13324,13707,14101,14506,14923,15352,15793,16247,16714,17195,17689,18198,18721,19259,19813,20382,20968,21571,22191,22829
